,repository_name,language
0,.github,
1,aegisthus,Java
2,af_tsa,C
3,aminator,Python
4,archaius,Java
5,asf-rez-fork,Python
6,asgard,Groovy
7,astyanax,Java
8,atlas,Scala
9,atlas-docs,Python
10,aws-autoscaling,Shell
11,awsobjectmapper,Groovy
12,batch_request_api,Ruby
13,batch_request_client,Ruby
14,bbparse,C
15,bettertls,Go
16,blesk,JavaScript
17,bless,Python
18,blitz4j,Java
19,bpftop,C
20,brutal,Python
21,cachemover,C++
22,CassJMeter,Java
23,chaosmonkey,Go
24,Cloud-Prize,
25,clove,Python
26,codec_compare,Python
27,concurrency-limits,Java
28,conductor,Java
29,conductor-community,Java
30,conductor-docs,Python
31,conductor-ui,JavaScript
32,consoleme,Python
33,curator,Java
34,denominator,Java
35,derand,Java
36,dgs,HTML
37,dgs-codegen,Kotlin
38,dgs-examples-java,Java
39,dgs-examples-java-2.7,Java
40,dgs-examples-java.latest,Java
41,dgs-examples-java16,Java
42,dgs-examples-kotlin,Kotlin
43,dgs-examples-kotlin-2.7,Kotlin
44,dgs-examples-webflux,Java
45,dgs-federation-example,Kotlin
46,dgs-framework,Kotlin
47,dgs-intellij-plugin,Kotlin
48,dial-reference,C
49,dispatch,Python
50,dispatch-docker,Shell
51,dyno,Java
52,dyno-queues,Java
53,dynomite,C
54,dynomite-manager,Java
55,e2nest,Python
56,eclipse-jifa,Java
57,eclipse-mat,
58,edda,Scala
59,edda-client,Java
60,element-server,JavaScript
61,ember-batch-request,JavaScript
62,ember-nf-graph,JavaScript
63,ember-nf-graph-examples,JavaScript
64,eslint-config-netflix,Shell
65,eslint-plugin-x-element,JavaScript
66,eureka,Java
67,eureka-ui,JavaScript
68,EVCache,Java
69,fabricator,Java
70,falcor,JavaScript
71,falcor-datasource-chainer,JavaScript
72,falcor-express,JavaScript
73,falcor-express-demo,HTML
74,falcor-hapi,JavaScript
75,falcor-hapi-demo,HTML
76,falcor-http-datasource,JavaScript
77,falcor-json-graph,JavaScript
78,falcor-observable,JavaScript
79,falcor-path-syntax,JavaScript
80,falcor-path-utils,JavaScript
81,falcor-restify,JavaScript
82,falcor-restify-demo,HTML
83,falcor-router,JavaScript
84,falcor-router-demo,JavaScript
85,fast_jsonapi,Ruby
86,Fenzo,Java
87,Fido,C#
88,flamescope,Python
89,frigga,Java
90,genie,Java
91,glisten,Groovy
92,global-lock-bench,C
93,go-env,Go
94,go-expect,Go
95,go-iomux,Go
96,governator,Java
97,gradle-template,Java
98,hal-9001,Go
99,hollow,Java
100,hollow-reference-implementation,Java
101,hubcommander,Python
102,Hystrix,Java
103,iceberg,Java
104,iceberg-python,Python
105,iep,Java
106,iep-shadow,
107,image_compression_comparison,Python
108,inviso,JavaScript
109,karyon,Java
110,lemur,Python
111,lemur-docker,Python
112,libamicontained,Rust
113,Lipstick,JavaScript
114,maestro,Java
115,mantis,Java
116,mantis-api,Java
117,mantis-cli,JavaScript
118,mantis-connectors,Java
119,mantis-control-plane,Java
120,mantis-examples,Java
121,mantis-gradle-plugin,Groovy
122,mantis-helm,Smarty
123,mantis-mql,Clojure
124,mantis-rxcontrol,Java
125,mantis-rxnetty,
126,mantis-source-jobs,Java
127,mantis-ui,TypeScript
128,matchcut,Jupyter Notebook
129,metacat,Java
130,metaflow,Python
131,metaflow-docs,JavaScript
132,metaflow-extensions-template,Python
133,metaflow-nflx-extensions,Python
134,metaflow-service,Python
135,metaflow-tools,HCL
136,metaflow-ui,TypeScript
137,metrics-client-go,Go
138,msl,C++
139,ndbench,HTML
140,nerror,JavaScript
141,netflix-commons,Java
142,netflix-graph,Java
143,netflix.github.com,HTML
144,netflixoss-npm-build-infrastructure,
145,nf-data-explorer,TypeScript
146,nflx-geofeed,
147,nflxprofile,Python
148,NfWebCrypto,C++
149,Nicobar,Java
150,ocelli,Java
151,octodns,Python
152,octodns-ns1,Python
153,octodns-route53,Python
154,octodns-ultra,Python
155,OpenVPCal,Python
156,osstracker,Scala
157,p2plab,Go
158,photon,Java
159,PigPen,Clojure
160,pollyjs,JavaScript
161,polynote,HTML
162,Prana,Java
163,Priam,Java
164,probnik,TypeScript
165,pygenie,Python
166,pytheas,JavaScript
167,q,Java
168,Raigad,Java
169,ReactiveLab,Java
170,reactivesocket-examples,Java
171,read_bbrlog,C
172,recipes-rss,Java
173,rend,Go
174,rend-http,Go
175,rend-lmdb,Go
176,repokid,Python
177,restful-jsonapi,Ruby
178,ribbon,Java
179,runtime-health,Java
180,rx-aws-java-sdk,Java
181,s3mper,Java
182,security-bulletins,
183,security_monkey,Python
184,servo,Java
185,sherlock,R
186,signal-wrapper,Go
187,SimianArmy,Java
188,sleepy-puppy-docker,Dockerfile
189,spark,Scala
190,spectator,Java
191,spectator-cpp,C++
192,spectator-go,Go
193,spectator-go-runtime-metrics,Go
194,spectator-js,TypeScript
195,spectator-py,Python
196,spectator-py-runtime-metrics,Python
197,spectator-rb,Ruby
198,staash,Java
199,sureal,Python
200,suro,Java
201,Surus,Java
202,taskintrospection,C
203,tcplog_dumper,C
204,techreports,
205,titus,
206,titus-api-definitions,Makefile
207,titus-control-plane,Java
208,titus-executor,Go
209,titus-kube-common,Go
210,tslint-config-netflix,JavaScript
211,ttal-dapt-conv,JavaScript
212,Turbine,Java
213,unleash,JavaScript
214,user2020-metaflow-tutorial,R
215,vector,JavaScript
216,vectorflow,D
217,videoannotator,Jupyter Notebook
218,virtual-kubelet,Go
219,vizceral,JavaScript
220,vizceral-component,JavaScript
221,vizceral-example,JavaScript
222,vizceral-react,JavaScript
223,vmaf,Python
224,vmaf_resource,
225,vp9-dash,
226,webpack-parse-query,JavaScript
227,weep,Go
228,Workflowable,Ruby
229,x-element,JavaScript
230,x-test,JavaScript
231,x-test-cli,JavaScript
232,yetch,JavaScript
233,zeno,Java
234,zuul,Java
